@relation 'drg_DRG194_set-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Remove-R2,4,7-weka.filters.unsupervised.attribute.Remove-R1'

@attribute providerRegionDescription {RIDCASantaCruz,RIDCTHartford,RIDFLMiami,RIDFLOcala,RIDALDothan,RIDALBirmingham,RIDALMontgomery,RIDALHuntsville,RIDALMobile,RIDGARome,RIDFLPensacola,RIDFLOrlando,RIDMSTupelo,RIDALTuscaloosa,RIDAKAnchorage,RIDAZPhoenix,RIDAZTucson,RIDAZMesa,RIDAZSunCity,RIDNMAlbuquerque,RIDNVLasVegas,RIDARSpringdale,RIDARLittleRock,RIDARFortSmith,RIDTNMemphis,RIDARJonesboro,RIDMOSpringfield,RIDARTexarkana,RIDCAAlamedaCounty,RIDCARedding,RIDCASanMateoCounty,RIDCASanFrancisco,RIDCANapa,RIDCASacramento,RIDCASanLuisObispo,RIDCALosAngeles,RIDCASanBernardino,RIDCASanDiego,RIDCAChico,RIDCABakersfield,RIDCASanJose,RIDCAFresno,RIDCAOrangeCounty,RIDCAVentura,RIDCAStockton,RIDCASantaRosa,RIDCASantaBarbara,RIDCASalinas,RIDCAModesto,RIDCAContraCostaCounty,RIDCAPalmSprings/RanchoM,RIDORMedford,RIDCOGreeley,RIDCOBoulder,RIDCODenver,RIDCOGrandJunction,RIDCOColoradoSprings,RIDCOFortCollins,RIDCOPueblo,RIDCTNewHaven,RIDCTBridgeport,RIDDEWilmington,RIDMDSalisbury,RIDDCWashington,RIDFLJacksonville,RIDFLFortLauderdale,RIDFLFortMyers,RIDFLOrmondBeach,RIDFLPanamaCity,RIDFLSt.Petersburg,RIDFLBradenton,RIDFLClearwater,RIDFLTampa,RIDFLHudson,RIDFLSarasota,RIDFLGainesville,RIDFLTallahassee,RIDFLLakeland,RIDGAAtlanta,RIDGAMacon,RIDTNChattanooga,RIDGAAlbany,RIDGASavannah,RIDGAAugusta,RIDGAColumbus,RIDHIHonolulu,RIDIDBoise,RIDWASpokane,RIDIDIdahoFalls,RIDUTSaltLakeCity,RIDILPeoria,RIDMOSt.Louis,RIDILJoliet,RIDILMelrosePark,RIDILEvanston,RIDILRockford,RIDILSpringfield,RIDILChicago,RIDILAurora,RIDILElgin,RIDILBlueIsland,RIDWIMilwaukee,RIDILUrbana,RIDILHinsdale,RIDILBloomington,RIDINEvansville,RIDKYPaducah,RIDIADavenport,RIDINIndianapolis,RIDINGary,RIDINLafayette,RIDINMunster,RIDINSouthBend,RIDKYLouisville,RIDINFortWayne,RIDINTerreHaute,RIDOHCincinnati,RIDINMuncie,RIDIADesMoines,RIDIAIowaCity,RIDNEOmaha,RIDIAWaterloo,RIDIACedarRapids,RIDIAMasonCity,RIDIADubuque,RIDSDSiouxFalls,RIDIASiouxCity,RIDKSTopeka,RIDMOJoplin,RIDMOKansasCity,RIDKSWichita,RIDOKTulsa,RIDTXAmarillo,RIDKYCovington,RIDKYLexington,RIDTNNashville,RIDWVHuntington,RIDTNKnoxville,RIDKYOwensboro,RIDLAMetairie,RIDLALafayette,RIDLAHouma,RIDLAShreveport,RIDLAMonroe,RIDLALakeCharles,RIDLABatonRouge,RIDLAAlexandria,RIDLANewOrleans,RIDLASlidell,RIDMEBangor,RIDMEPortland,RIDMDBaltimore,RIDMDTakomaPark,RIDWVMorgantown,RIDMAWorcester,RIDMABoston,RIDRIProvidence,RIDMASpringfield,RIDNYAlbany,RIDMIAnnArbor,RIDMIGrandRapids,RIDMIMuskegon,RIDMIKalamazoo,RIDMIRoyalOak,RIDMIDearborn,RIDMISt.Joseph,RIDMIDetroit,RIDMIPontiac,RIDMILansing,RIDMISaginaw,RIDMIMarquette,RIDWIGreenBay,RIDMITraverseCity,RIDOHToledo,RIDMIPetoskey,RIDMIFlint,RIDMNMinneapolis,RIDMNDuluth,RIDMNRochester,RIDMNSt.Cloud,RIDMNSt.Paul,RIDWILaCrosse,RIDNDFargo/MoorheadMN,RIDNHLebanon,RIDMSJackson,RIDMSGulfport,RIDMSOxford,RIDMSMeridian,RIDMSHattiesburg,RIDMOColumbia,RIDMOCapeGirardeau,RIDMTBillings,RIDMTGreatFalls,RIDMTMissoula,RIDNELincoln,RIDNVReno,RIDNHManchester,RIDNJHackensack,RIDNJNewark,RIDPAPhiladelphia,RIDNJNewBrunswick,RIDNJCamden,RIDNJRidgewood,RIDNJMorristown,RIDNJPaterson,RIDPAAllentown,RIDTXElPaso,RIDTXLubbock,RIDNYEastLongIsland,RIDNYBuffalo,RIDNYWhitePlains,RIDNYRochester,RIDNYBronx,RIDNYBinghamton,RIDNYManhattan,RIDNYElmira,RIDVTBurlington,RIDNYSyracuse,RIDPAErie,RIDPASayre,RIDNCCharlotte,RIDNCAsheville,RIDNCWinstonSalem,RIDNCDurham,RIDNCRaleigh,RIDNCGreenville,RIDNCHickory,RIDTNJohnsonCity,RIDNCGreensboro,RIDNCWilmington,RIDOREugene,RIDVANorfolk,RIDNDBismarck,RIDNDMinot,RIDNDGrandForks,RIDOHColumbus,RIDOHDayton,RIDOHCanton,RIDOHAkron,RIDOHCleveland,RIDOHKettering,RIDOHYoungstown,RIDPAPittsburgh,RIDOHElyria,RIDOKOklahomaCity,RIDTXDallas,RIDOKLawton,RIDORPortland,RIDORBend,RIDORSalem,RIDPAScranton,RIDPADanville,RIDPAHarrisburg,RIDPAReading,RIDPAJohnstown,RIDPAYork,RIDPAAltoona,RIDPALancaster,RIDPAWilkesBarre,RIDSCCharleston,RIDSCFlorence,RIDSCSpartanburg,RIDSCGreenville,RIDSCColumbia,RIDSDRapidCity,RIDTNJackson,RIDTNKingsport,RIDTXBeaumont,RIDTXSanAntonio,RIDTXWichitaFalls,RIDTXBryan,RIDTXHouston,RIDTXVictoria,RIDTXHarlingen,RIDTXLongview,RIDTXFortWorth,RIDTXWaco,RIDTXCorpusChristi,RIDTXTemple,RIDTXAbilene,RIDTXAustin,RIDTXTyler,RIDTXMcAllen,RIDTXOdessa,RIDTXSanAngelo,RIDUTProvo,RIDUTOgden,RIDVACharlottesville,RIDVAWinchester,RIDWIMarshfield,RIDVARichmond,RIDVALynchburg,RIDVAArlington,RIDVARoanoke,RIDVANewportNews,RIDWASeattle,RIDWAEverett,RIDWAYakima,RIDWAOlympia,RIDWATacoma,RIDWVCharleston,RIDWIAppleton,RIDWIWausau,RIDWIMadison,RIDWINeenah,RIDWYCasper}
@attribute averageCoveredPayments {'\'(-inf-16988.408]\'','\'(16988.408-28884.216]\'','\'(28884.216-40780.024]\'','\'(40780.024-52675.832]\'','\'(52675.832-64571.64]\'','\'(64571.64-76467.448]\'','\'(76467.448-88363.256]\'','\'(88363.256-100259.064]\'','\'(100259.064-112154.872]\'','\'(112154.872-inf)\''}
@attribute averageTotalPayments {'\'(-inf-6573.001]\'','\'(6573.001-8426.802]\'','\'(8426.802-10280.603]\'','\'(10280.603-12134.404]\'','\'(12134.404-13988.205]\'','\'(13988.205-15842.006]\'','\'(15842.006-17695.807]\'','\'(17695.807-19549.608]\'','\'(19549.608-21403.409]\'','\'(21403.409-inf)\''}

@data
RIDMNSt.Paul,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMNMinneapolis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMNRochester,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMNMinneapolis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMNMinneapolis,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDMNMinneapolis,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDMNMinneapolis,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDMNMinneapolis,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMNSt.Paul,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMNSt.Paul,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMNMinneapolis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDALBirmingham,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSTupelo,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSTupelo,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMSGulfport,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDMSOxford,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSOxford,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSGulfport,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDMSTupelo,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMSTupelo,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMSJackson,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDMSOxford,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALMobile,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALMobile,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDMSMeridian,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSTupelo,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSTupelo,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDMSJackson,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSHattiesburg,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSOxford,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSTupelo,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSMeridian,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDMSHattiesburg,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSHattiesburg,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSMeridian,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMSHattiesburg,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSTupelo,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMSMeridian,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDLASlidell,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDMSGulfport,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMSOxford,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMSJackson,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDLASlidell,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOJoplin,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOColumbia,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOKansasCity,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMOColumbia,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOColumbia,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARJonesboro,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOColumbia,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOSpringfield,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOColumbia,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDMOKansasCity,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMOKansasCity,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMOSpringfield,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOColumbia,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDMOKansasCity,'\'(-inf-16988.408]\'','\'(8426.802-10280.603]\''
RIDMOKansasCity,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOKansasCity,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOSpringfield,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDMOJoplin,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDMOKansasCity,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDMOColumbia,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOSpringfield,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOColumbia,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOCapeGirardeau,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOColumbia,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOSpringfield,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOKansasCity,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMOSpringfield,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOKansasCity,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDMOKansasCity,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOKansasCity,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDMOKansasCity,'\'(-inf-16988.408]\'','\'(8426.802-10280.603]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOCapeGirardeau,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOCapeGirardeau,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDMOJoplin,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOKansasCity,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDMOColumbia,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMOColumbia,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOCapeGirardeau,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOKansasCity,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDMOKansasCity,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOCapeGirardeau,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDMOColumbia,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMOKansasCity,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOKansasCity,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOSpringfield,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOSpringfield,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMOColumbia,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDMOSt.Louis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOKansasCity,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDMOKansasCity,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDMOSt.Louis,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMTBillings,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMTBillings,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMTGreatFalls,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMTMissoula,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMTMissoula,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMTMissoula,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDMTGreatFalls,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDMTBillings,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMTMissoula,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMTBillings,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMTGreatFalls,'\'(-inf-16988.408]\'','\'(8426.802-10280.603]\''
RIDNELincoln,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNEOmaha,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDNEOmaha,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDNELincoln,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNEOmaha,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNEOmaha,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDNELincoln,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDNEOmaha,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNEOmaha,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDCODenver,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDNELincoln,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDNEOmaha,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNEOmaha,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDNEOmaha,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNEOmaha,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDNEOmaha,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDNEOmaha,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDNEOmaha,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNVReno,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDNVLasVegas,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDNVLasVegas,'\'(40780.024-52675.832]\'','\'(10280.603-12134.404]\''
RIDNVReno,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDNVLasVegas,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDUTSaltLakeCity,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDNVReno,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNVLasVegas,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDNVReno,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDNVLasVegas,'\'(64571.64-76467.448]\'','\'(8426.802-10280.603]\''
RIDNVLasVegas,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDNVReno,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDNVLasVegas,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDNVLasVegas,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDNVLasVegas,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDNVLasVegas,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDNVLasVegas,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDNVReno,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNVLasVegas,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDNVLasVegas,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDNHManchester,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNHLebanon,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDNHManchester,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDNHManchester,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNHManchester,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDMEPortland,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDNHManchester,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDMEPortland,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNHManchester,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDNHManchester,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNHManchester,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDNHManchester,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDNJHackensack,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDNJNewark,'\'(76467.448-88363.256]\'','\'(12134.404-13988.205]\''
RIDNJHackensack,'\'(52675.832-64571.64]\'','\'(8426.802-10280.603]\''
RIDPAPhiladelphia,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDNJHackensack,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDNJHackensack,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDNJNewark,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDNJNewBrunswick,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDNJCamden,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNJRidgewood,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDNJCamden,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDNJMorristown,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDNJNewark,'\'(64571.64-76467.448]\'','\'(8426.802-10280.603]\''
RIDNJPaterson,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDNJPaterson,'\'(52675.832-64571.64]\'','\'(8426.802-10280.603]\''
RIDPAPhiladelphia,'\'(76467.448-88363.256]\'','\'(8426.802-10280.603]\''
RIDNJCamden,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDNJNewark,'\'(52675.832-64571.64]\'','\'(-inf-6573.001]\''
RIDNJNewark,'\'(112154.872-inf)\'','\'(6573.001-8426.802]\''
RIDNJNewark,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDNJMorristown,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDNJCamden,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDNJCamden,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDNJCamden,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDNJCamden,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDNJNewBrunswick,'\'(64571.64-76467.448]\'','\'(8426.802-10280.603]\''
RIDNJNewBrunswick,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDNJHackensack,'\'(52675.832-64571.64]\'','\'(8426.802-10280.603]\''
RIDNJCamden,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDPAPhiladelphia,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDNJHackensack,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDNJCamden,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDNJNewBrunswick,'\'(76467.448-88363.256]\'','\'(6573.001-8426.802]\''
RIDNJMorristown,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDNJMorristown,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDNJCamden,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDNJNewark,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDNJCamden,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDNJHackensack,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDPAAllentown,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDNJCamden,'\'(52675.832-64571.64]\'','\'(-inf-6573.001]\''
